name,ranked,score,popularity,favorite,published,genre,description,serialization,reading,completed,dropped,plan_to_read
Gunslinger Girl,452,8.08,706,"1,040","May 21, 2002","Action, Drama, Sci-Fi","The Social Welfare Agency in Italy is not what it seems. Yes, it rescues young girls who have been brutalized, but it then brainwashes them and turns them into ruthless killers for an elite and secret counter-terrorism unit for the Italian government.

Enter a young girl named Henrietta. After witnessing the savage murder of her family and barely surviving, the Agency takes her in and repairs her injuries using the latest in cybernetic technology. All traces of Henrietta's past are wiped from her mind, as she becomes one of the Agency's most lethal assassins.

(Source: Seven Seas Entertainment)",Dengeki Daioh,"4,210","5,272","1,026","12,268"
Ore to Akuma no Blues,453,8.08,855,278,"Nov 25, 2003","Drama, Horror","Legend has it that if you take your guitar and stand at a crossroads at the witching hour, the devil will appear. He'll grab your instrument, play a song, and hand it back to you. You'll walk away an expert bluesman, but you'll have to pay the price: your immortal soul.

The year is 1929. Deep in the Mississippi Delta, a young man named R J dreams of becoming a bluesman. R J is a simple farmer who can barely play guitar, but when he takes a midnight stroll, his life is forever changed.

A phantasmagoric reimagining of the life of legendary blues great Robert Johnson, Ore to Akuma no Blues follows the journey of a man who really did sell his soul to the devil. Why not come along for the ride?

(Source: Del Rey, edited)",Young Magazine the 3rd,"3,150","1,628",358,"14,023"
Five Star Stories,454,8.08,3493,171,"Apr 10, 1986",Sci-Fi,"The Five Star Stories takes its name from the Joker Star Cluster where the stories take place. The star cluster is made up of four stars: Eastern, Western, Southern and Northern. The ""fifth star"" is a large comet named Stant that passes through that sector of space every 1,500 years pulling with it its own collection of orbiting planets.

In the distant past the Farus Di Kanon Empire, now commonly known as the ""Super Empire,"" controlled all 4 solar systems of the Joker Cluster. They enjoyed a level of technology much higher than is currently known and sent explorers to the far reaches of the Joker Galaxy. Around the year 9000 AD (Ammon Duul) the empire collapsed due to internal strife. The explorers were called home and what remained of civilization focused mainly on survival. Much technology and knowledge was lost by the time the imperial families of Amaterasu, Fillmore and Hathuha gathered and established the JC era. JC stands for ""Joker Calendar"" and was meant to give a common frame of reference to all nations to help foster a lasting peace. The JC calendar was adopted but the dream of peace was never realized.

The first story of The Five Star Stories begins in JC 2988. At this time interstellar travel is common and genetically engineered ""fatimas"" are well established as necessary co-pilots of the fearsome mortar headds that dominate the battlefields. Warfare between nations is commonplace and few still hope for peace.",Newtype,"1,059",122,132,"3,974"
Shigurui,455,8.08,615,864,"Jun 19, 2003","Action, Drama","The sadistic daimyo Tadanaga Tokugawa has decreed Japan's first martial arts competition with real swords, appalling even the most loyal of his retainers. However, when the spectators realize that the first match pits the one-armed Gennosuke Fujiki against the blind and lame Seigen Irako, even those with the most forceful objections declare the match to be a farce and the combatants' deformities an affront to their station.

Most of the attendees are unaware of the deep-seated hatred Gennosuke and Seigen hold for each other, which stems from their struggle to become the heir to the insane samurai Kogan Iwamoto, leader of the notorious Kogan-ryuu dojo. Their once-cordial rivalry for Kogan-ryuu and the hand of Kogan's daughter Mie quickly turns violent when one of the young warriors angers the master, causing a chain of events that eventually leads to their severe injuries.

Shigurui chronicles the decisions that led Gennosuke and Seigen to this desperate point, as well as the many lives ruined by the brutality of samurai culture.

",Champion RED,"2,251","9,495",426,"14,967"
Ginga Tetsudou 999 (1996),456,8.08,7606,22,1996,"Adventure, Drama, Fantasy, Sci-Fi","One year after the events of the First Cycle (Andromeda Arc), Tetsurou has returned to Earth only to end up chained in his home in Megalopolis. It is then that Maetel appears before him once again, offering him the opportunity to join her on a new journey—one she claims will lead him to his destiny.",Big Gold,199,527,59,"1,485"
Kimi to Tsuzuru Utakata,457,8.08,1984,189,"May 18, 2020",Girls Love,"The self-conscious Shizuku Hoshikawa is on her way to dispose of her first and last novel. But before she can do so, the charismatic Kaori Asaka bumps into her and ends up taking the novel home. This turn of events greatly distresses Shizuku, as she does not want anyone to read the depressing story she wrote for her own satisfaction.

Initially expecting the worst, Shizuku finds herself in tears of joy when Kaori tells her the novel deeply moved her. Kaori wishes to read more of her stories, but as Shizuku did not plan on writing anything else, she has no idea what to write. As a result, Kaori comes up with a bizarre suggestion—their love.

Shizuku is skeptical of Kaori's intention and somewhat uneasy about what secrets she may be hiding behind her smile. Nevertheless, the two begin their odd summer vacation in pursuit of their own love story.

",Comic Yuri Hime,"4,550",162,161,"4,268"
Gekijouban Mahou Shoujo Madoka★Magica: Shinpen - Hangyaku no Monogatari,458,8.08,2706,175,"Nov 12, 2013","Drama, Fantasy","With a single, hopeful wish, young women can become magical girls and take on the thankless task of getting rid of the hidden chaos of the world. Despite this, the magical girls of Mitakihara are enjoying themselves, leading normal middle school lives by day and working together as a brilliant magical girl team by night.

And yet... was the world always this way? Were the battles of magical girls supposed to be like this? These are the thoughts of Homura Akemi, a very shy girl who has recently transferred schools and became a member of the Mitakihara magical girls. The seemingly perfect lives that she and her friends lead has caused Homura to start doubting and observing the world. And as she slowly isolates herself from the group to explore the world in secret, she finds that things are not what they seem—after all, one of these girls shouldn't even exist...

",None,497,"3,635",104,"2,854"
Boku no Hero Academia,459,8.07,8,"27,721","Jul 7, 2014",Action,"One day, a four-year-old boy came to a sudden realization: the world is not fair. Eighty percent of the world's population wield special abilities, known as ""quirks,"" which have given many the power to make their childhood dreams of becoming a superhero a reality. Unfortunately, Izuku Midoriya was one of the few born without a quirk, suffering from discrimination because of it. Yet, he refuses to give up on his dream of becoming a hero; determined to do the impossible, Izuku sets his sights on the elite hero training academy, UA High.

However, everything changes after a chance meeting with the number one hero and Izuku's idol, All Might. Discovering that his dream is not a dead end, the powerless boy undergoes special training, working harder than ever before. Eventually, this leads to him inheriting All Might's power, and with his newfound abilities, gets into his school of choice, beginning his grueling journey to become the successor of the best hero on the planet.

",Shounen Jump (Weekly),"307,833","17,058","25,256","46,738"
Kekkai Sensen: Back 2 Back,460,8.07,4432,29,"Jul 17, 2015","Action, Fantasy, Supernatural","Kekkai Sensen centers around the crime-fighting organization ""Libra"" and their battles in Hellsalem's Lot, formerly known as New York City. Hellsalem's Lot was created in a single night when a portal to the ""Beyond"" opened, and now it is a paranormal melting pot of monsters, magic, and the everyday mundane city life. It's up to Libra to prevent the horrors of this city from spreading to the outside world.

When mild-mannered Leonard Watch arrives in the city, he's inducted into Libra and things spiral out of control from there.

(Source: Wikipedia)",Jump SQ.Rise,847,495,61,"2,799"
Mahou Shoujo Madoka★Magica,461,8.07,426,"1,489","Feb 12, 2011","Drama, Fantasy, Horror","Fourteen-year-old Madoka Kaname has a surreal dream about a strange creature and a girl in trouble. The next morning, a mysterious girl named Homura Akemi transfers into Madoka's class; to her surprise, Homura appears to be the exact same girl that she saw in her dream.

Later that day, Madoka hears a plea for help in her head. It turns out that the cries belong to an injured Kyuubey, the cat-like creature who was also in her dream. But she finds Homura at Kyuubey's location, who warns Madoka to get away from the small entity. Making the connection that her new classmate attacked the helpless creature, Madoka takes Kyuubey and runs away with the help of best friend Sayaka Miki.

After their escape, Kyuubey offers the girls an enticing opportunity: become a magical girl in exchange for having any wish granted. However, not everything is as it seems, as the weight of their wishes may be a lot heavier than they might have expected.

",None,"3,623","23,927",607,"9,412"
Gangsta.,462,8.07,228,"2,363","Jan 21, 2011","Action, Drama","In the crime-ridden city of Ergastulum, there exists a group of humans with super strength and speed dubbed ""twilights."" These twilights define the city with their constant tension with normal humans, and powerful factions of the town—the Corsica Family, the Monroe Family, the Cristiano Family, and the Paulklee Guild—use them as a means to maintain the fragile balance that exists within the city.

Enter the charming human Worick Arcangelo and the deaf twilight Nicolas Brown, two long-time friends and business partners of the neutral group ""The Handymen."" Working as muscle-for-hire, they are willing to take almost any job asked of them in order to make ends meet. One day, they find themselves receiving a seemingly regular job from the police: kill a rival pimp and his prostitute. However, this job is not all that it seems, as it takes the pair down a dangerous path and triggers events that could change the very framework of Ergastulum forever.

",Comic@Bunch,"25,454","3,612","3,057","26,522"
Suki na Ko ga Megane wo Wasureta,463,8.07,461,918,"Nov 22, 2018",Comedy,"As the deskmate of Ai Mie, Kaede Komura always has his attention fixed on her. Attracted by her cute charms, all he wishes for is that she would look at him with those beautiful eyes beneath her glasses. But just a few days after making her acquaintance, Kaede notices something different about Ai: her eyes are squinting and her glasses are missing. Nonetheless, he still finds her adorable!

Unexpectedly, Ai has a tendency to forget her glasses. Having terrible vision, she has difficulty going through her day at school. Thankfully, Kaede is more than willing to help her. As Ai starts relying on him, Kaede's feelings for her grow even more. Likewise, despite her short-sightedness, Kaede slowly becomes the person Ai always hopes to see.

",Gangan Joker,"20,917",811,"1,002","11,857"
Houkago Shounen Hanako-kun,464,8.07,2973,138,"Feb 22, 2018","Comedy, Supernatural","The ghostly Hanako-kun and his mortal assistant, Nene Yashiro, usually have their hands full resolving various supernatural incidents in Kamome Academy, but how do they spend their time when they get a break from all that? Come and watch the characters of Toilet-bound Hanako-kun play games, get sick, change genders, and discover world-shaking secrets during their laid-back after-school hours!

(Source: Yen Press)",PFantapy,"2,695",871,135,"2,360"
Naruto,465,8.07,11,"43,652","Sep 21, 1999","Action, Adventure, Fantasy","Whenever Naruto Uzumaki proclaims that he will someday become the Hokage—a title bestowed upon the best ninja in the Village Hidden in the Leaves—no one takes him seriously. Since birth, Naruto has been shunned and ridiculed by his fellow villagers. But their contempt isn't because Naruto is loud-mouthed, mischievous, or because of his ineptitude in the ninja arts, but because there is a demon inside him. Prior to Naruto's birth, the powerful and deadly Nine-Tailed Fox attacked the village. In order to stop the rampage, the Fourth Hokage sacrificed his life to seal the demon inside the body of the newborn Naruto.

And so when he is assigned to Team 7—along with his new teammates Sasuke Uchiha and Sakura Haruno, under the mentorship of veteran ninja Kakashi Hatake—Naruto is forced to work together with other people for the first time in his life. Through undergoing vigorous training and taking on challenging missions, Naruto must learn what it means to work in a team and carve his own route toward becoming a full-fledged ninja recognized by his village.

",Shounen Jump (Weekly),"108,696","228,606","24,147","25,364"
Bokurano,466,8.07,517,"1,162","Nov 25, 2003","Drama, Sci-Fi","Fifteen middle school students are happily attending a summer camp by the sea, until one of the children leads the group into a cave that will drastically alter the course of their lives forever. Inside are several computers, along with a man named Kokopelli who offers the students a chance to play a game: one where they use a gigantic robot to defeat enemies who attack the Earth. The children agree to sign a contract by touching a shield-like object, and Kokopelli transports them to the cockpit of the Zearth—the mecha they are to pilot.

After an enemy mecha rises from the sea, Kokopelli shows them how to mentally control the Zearth, and defeats it. The children are excited by the prospect of defending the Earth, but not everything is as it seems. The Zearth is in fact powered by life energy, and at the end of every battle, the pilots die. After signing their lives away, the children must now use their time left on Earth to defend it.

",Ikki,"2,538","12,176",709,"16,245"
Tobaku Datenroku Kaiji,467,8.07,1607,270,Nov 2004,Drama,"Itou Kaiji, now free of debt but without a penny is leeching himself in Mr.Sakazaki's new house, despite all the flirtings (extreme torment for Kaiji) from Sakazaki's daughter, Mikoko. Sakazaki attempts to kick Kaiji out, even by offering a farewell 'we never knew each other' money of 3000000 yen. While Kaiji ponders himself on the decision, he is visited by Miyoshi and Maeda, two of his 'allies' he had saved from the last part of the series.",Young Magazine (Weekly),"1,354","5,943",171,"3,895"
Shaman King Kanzenban,468,8.07,1203,376,"Mar 4, 2008","Action, Adventure, Comedy, Supernatural","Shaman King Kanzenban is a reprint of the original Shaman King series but with differences including the addition of new chapters (which changes the chapter numbering). The releases also included 16 special bonus chapters called Shaman King Remix Track.

(Source: MU)

Note: This entry will only contain the extra chapters included in this edition. Please see here for more information.",Jump SQ.,"1,131","9,767",227,"3,780"
Dogs: Bullets & Carnage,469,8.06,472,"1,729","Jun 18, 2005","Action, Drama","Sometime in the future, somewhere in Europe, a city has many levels of underground, secret, dangerous levels that have answers to the past. Mihai is a retired assassin who has returned home to settle a vendetta and start a new life as a restaurant owner. Haine was genetically experimented on as a child, which led to him possesing dog like attributes. Badou is his clumsy chain smoking partner who becomes deranged when denied cigarettes. Naoto was orphaned as a child and has amnesia was trained to wield the sword. Their pasts are somehow connected to the secret underground and the organization that controls it.

(Source: ANN)

Included one-shot:
Volume 2: Dogs: Hardcore Twins",Ultra Jump,"11,125","1,922","1,449","16,864"
Gokusen,470,8.06,1054,433,"Dec 15, 1999","Action, Comedy, Romance, Slice of Life","Fresh out of college, Kumiko ""Yankumi"" Yamaguchi becomes a math teacher at an all-boys high school. Unfortunately for her, she's assigned by the school board as the homeroom teacher for class 3-D, which happens to be the class of delinquent students. When the class attempts to make a living hell out of Yankumi's career, they fail as her persistence and aggression gain her respect. However, little does anyone in the school know that Yankumi is actually heir to the Kuroda Ikka—one of Tokyo's most powerful yakuza clans.

(Source: ANN)",YOU,"2,055","7,613",551,"5,954"
Higurashi no Naku Koro ni: Tatarigoroshi-hen,471,8.06,1373,136,"May 18, 2005","Drama, Horror, Mystery, Supernatural","In the village of Hinamizawa, Keiichi Maebara and his friends live their everyday lives peacefully and without incident. Having just moved to the town, Keiichi finds himself with no shortage of new friends. One of the youngest of this group, Satoko Houjou, plays many pranks on her friends and is always cheerful. But behind her smile lies a dark past, filled with personal heartache.

Despite all of the tragedy in her life, Satoko is still able to find happiness. Keiichi, who admires her resilient spirit, begins to think of himself as a brother figure and her protector. But when her uncle Teppei returns to town, Satoko begins showing signs of abuse. Keiichi longs to return his friend to her former happy self... so much so, that he starts to consider doing something drastic to keep her safe.

",GFantasy,746,"8,875",127,"3,697"
Worst,472,8.06,1374,345,"Sep 6, 2001","Action, Comedy","Hana Tsukishima is a country boy that recently moved to city. He is a good guy, ingenuous and honest, but he is also very strong. His goal is to become the ""strongest student"" of a school of thugs led by clan-logic, strength hierarchy and fights.",Shounen Champion (Monthly),"2,112","3,984",421,"6,645"
Hotarubi no Mori e,473,8.06,861,286,"Jun 10, 2002",Romance,"1. Hanauta Nagaruru
2. Hotarubi no Mori e
3. Kurukuru Ochiba
4. Hibi, Fukaku",LaLa,812,"12,446",132,"6,698"
Yamamoto Zenjirou to Moushimasu,474,8.06,2961,84,Feb 2007,"Drama, Romance, Supernatural","Hotate is a 10 year old girl who was living at her grandmother's house since her mother died. One day her grandmother tells Hotate that she can't care for her anymore because of her age and that she's going to have to live at her uncle's house. After moving to her uncle's house, she attends a new school, but things aren't easy because of her special ability to see the dead. Can she make friends with students in her new class? And what's the secret behind the bond between her and her uncle...?!

(Source: DivineSanctuary)

Included one-shot:
Volume 3: Aishite Nai",Ribon Mascot,748,"2,817",152,"2,722"
Clannad: Hikaru Mimamoru Sakamichi de,475,8.06,5433,43,"Jul 21, 2007","Drama, Romance",,Comi Digi,208,"1,028",82,"2,093"
Chichi no Koyomi,476,8.06,3446,87,"Apr 9, 1994",Slice of Life,"A family is devastated by the Great Tottori Fire of 1952, but the family comes to terms with the disaster and breaks free from the bonds holding them back.

(Source: Otakuworks)",Big Comic,299,"2,096",49,"3,180"
Koi dano Ai dano,477,8.06,1614,220,"Oct 10, 2009","Comedy, Romance","Aside from being transferred from school to school during her middle school years, Kanoko has entered Takara no Tani High School with Tsubaki. For some reason, she becomes the ""Strategist"" for Cultural Affairs Department in reference to the Three Kingdoms and ends up joining the Newspaper Club...

(Source: Chibi Manga)

Included one-shot:
Volume 10: Futsuu Hyakkei",LaLa DX,"2,732","4,085",394,"4,129"
Gakkougurashi!,478,8.06,292,"2,957","May 24, 2012","Horror, Mystery, Slice of Life, Suspense","It is no coincidence that Megurigaoka Private High School is a second home for Yuki Takeya and the rest of the School Living Club. The club has only one mission: to spend day and night on campus promoting independence and engaging in a wide variety of school activities. Between Yuuri Wakasa's composure, Kurumi Ebisuzawa's dependability, Yuki Takeya's initiative, and their teacher Megumi Sakura's support, the club should have everything under control—in theory, that is.

As it turns out, living at school has its fair share of challenges. In order to make it to graduation and beyond, the members of the School Living Club must overcome their day-to-day troubles while making the most of their school lives.

",Manga Time Kirara Forward,"15,059","15,285","1,574","18,089"
Tanaka-kun wa Itsumo Kedaruge,479,8.06,625,736,"Jul 25, 2013",Slice of Life,"If there is one thing that Tanaka wants more than anything, it is a quiet, uneventful day. With the help of his caring and reliable best friend Oota, as well as various other classmates, Tanaka strives to spend his high school days in the most peaceful way possible. Whether it be sleeping in the perfect spot at school or idly staring out of a window, his friends can count on finding him trying to live life as listlessly as possible. With the constant threat of everyday annoyances surrounding him, Tanaka uses every chance he has to avoid high-energy situations and just lie down for a good nap.

",Gangan Online,"8,830","6,013",759,"10,490"
Noragami: Shuuishuu,480,8.06,1709,110,"Nov 19, 2011",Fantasy,"In a tale as epic as Noragami, sometimes details get overlooked, like how do shinki normally find employment? Is Yato ever useful? What happens when a god is targeted by a serial killer? Find the answers to these questions and more in this collection of short stories from Noragami creator Adachitoka!

(Source: Kodansha Comics USA)",None,"2,955","2,043",227,"5,162"
Fate/stay night: Heaven's Feel,481,8.06,2390,172,"May 2, 2015","Action, Fantasy, Supernatural",,Young Ace,"2,931",694,332,"3,642"
Tengoku Daimakyou,482,8.06,688,476,"Jan 25, 2018","Adventure, Sci-Fi","Within the safety of the walls, youths are raised in a nursery-style setting by robots. While life there may appear stale on the surface, the children are full of potential and curiosity. In many ways it is like a slice of heaven. The outside world is a hell-scape. It is almost entirely void of anything mechanical and is now inhabited by bizarre, yet powerful super-natural beings.

Maru, with the aid of Kiruko, is out there crisscrossing what was once Tokyo for heaven. But after searching for so long, maybe heaven is more of an untenable dream than a potential reality.

(Source: Denpa)",Afternoon,"13,008",417,463,"10,221"
Touhou Suichouka: Lotus Eater-tachi no Suisei,483,8.06,9660,48,"Nov 26, 2019","Fantasy, Slice of Life","In Gensokyo's human village, a rumor of a youkai allegedly kidnapping drunk people suddenly spread like wildfire, causing fear and worry within the populace. Meanwhile, at the center of this rumor—the Geidontei tavern—there is nothing out of place regarding its food and drinks, or even its owner.

When the shrine maiden Reimu Hakurei gets wind of the situation, she tries to fulfill her sworn duty to investigate the rumored establishment. However, the case leads her to someone else entirely: Geidontei's poster girl Miyoi Okunoda, whose existence seems to be as fleeting as a bubble.

",Comp Ace,987,98,33,554
Subete no Jinrui wo Hakai suru. Sorera wa Saisei Dekinai.,484,8.05,1026,346,"Nov 26, 2018",,"The year is 1998. Hajime Kanou is a junior high student enthralled with the collectible card game Magic: The Gathering—dubbed ""Magic"" for short—playing with his classmates every day during breaks. His loud group often catches the attention of Emi Sawatari, the top student who berates Hajime's group for bringing such games to school. Hajime sees Emi as his self-proclaimed rival and challenges her to academic battles, which frequently result in his defeat.

One day, Hajime pays a visit to a card shop that specializes in Magic. Much to his surprise, not only does he find Emi inside, but he also discovers that she is the undisputed best Magic player in the store. This meeting sparks a slow but steady change in their relationship, as they grow to know each other better through various Magic duels. With the turn of the millennium drawing close, the saga of two youth begins.

",Shounen Ace,"7,658",220,383,"8,347"
Watashi no Shiawase na Kekkon,485,8.05,1101,309,"Dec 20, 2018","Drama, Fantasy, Romance","Miyo Saimori was the unfortunate child of a loveless, arranged marriage. After her mother died, her father brought in his lover and other daughter, Kaya. From then on, Miyo's life was reduced to that of a mere servant. Even worse, while Kaya inherited the family's psychic abilities, Miyo had none—she was truly the daughter with no merit.

After years of being treated like dirt, Miyo has learned to keep her head down, hide her pain, and obey every order. So, it comes as no surprise that she is arranged to be married to Kiyoka Kudou, a military captain rumored to be so cruel that he has driven away every one of his potential wives so far.

From a painful upbringing to a painful marriage, that is the future that awaits Miyo—or so she thinks. Contrary to her expectations, her new husband is actually kind-hearted. What really awaits Miyo is a blissful, everlasting marriage full of happiness!

",Gangan Online,"8,482",411,361,"6,125"
Zense Coupling,486,8.05,2308,113,"Apr 26, 2018","Romance, Supernatural","Once upon a time, cruel fate led four couples to never meet their happy ends. But now, years later, all eight people have been reincarnated, and some retain memories of their previous lives! Even reincarnation is not able to stop their love, be it between a princess and her butler, a master and his cat, a hot-headed man and his equally hot-headed arranged fiancée, or a devoted man and his sickly lover.

",Palcy,919,"4,207",138,"2,995"
Josee to Tora to Sakana-tachi,487,8.05,3687,78,"Jan 6, 2020","Drama, Romance","A youth romantic drama with themes of growing up, the story focuses on college student Tsuneo and dreamer Josee, who lives her life stuck in a wheelchair. Josee—named after the heroine in Françoise Sagan's Wonderful Clouds—spends most of her days reading and painting until by chance she encounters Tsuneo, and decides it's time to face the real world.

(Source: MAL News)",Da Vinci,489,"1,947",38,"2,787"
Zoku Hoshi Mamoru Inu,488,8.05,3203,63,"Jul 21, 2009",Slice of Life,"1. Futagoboshi
2-3. Ittouboshi
4. Hoshi Mamoru Inu",Manga Action,205,"3,785",36,"2,094"
Yamada-kun to 7-nin no Majo,489,8.05,104,"5,238","Feb 22, 2012","Comedy, Mystery, Romance, Supernatural","A junior at Suzaku High, Ryuu Yamada is infamous for being a hardliner and a delinquent. One day, after being reprimanded for his poor performance and attitude toward school, he spots Urara Shiraishi, the grade's top student. As Shiraishi is walking up the stairs, Yamada attempts to provoke her, only to trip and fall, taking her down with him.

Eventually, he wakes up in the infirmary. To his surprise, he discovers that he is not in his own body. It turns out that he swapped bodies with Shiraishi, and upon confronting her, he finds out that the catalyst for the swap was an accidental kiss during the fall. With the knowledge of this new ability, Yamada's eventful high school life has just begun!

",Shounen Magazine (Weekly),"33,214","42,821","6,064","26,266"
Hidamari Sketch,490,8.05,2914,350,"Feb 28, 2004","Comedy, Slice of Life","Accepted to a high school specializing in the arts, Yuno moves into a nearby apartment complex to make her commute easier. Just a few days into her new routine, she quickly discovers that creativity doesn't end with the art school bell! Her neighbors—Sae, Hiro, and Miya—are all fellow students, and each has her own hilarious quirks. And eccentricity clearly rules this school; Yuno's homeroom teach is a cosplay otaku and the principal is just...weird. Will the quiet Yuno be able to handle this creatively kooky cast of characters?

(Source: Yen Press)",Manga Time Kirara Carat,"2,537",179,290,"3,090"
Ashita no Ousama,491,8.05,4669,70,1996,,"First-year Japanese major Yuu Sasaya is a naive country girl who has yet to adjust to the sophisticated city lifestyle. After watching a stage play for the first time, a particular minor role's performance leaves such a profound impact on her that she decides to pursue a career in acting.

Yuu confesses her newfound dream to a classmate and though ridiculed, attains an opportunity to tour a theatre company. While there, she meets the well-reputed rookie actor, Touya Ichii, and immediately recognizes his voice as the character who had impacted her. Seeing Yuu's passion, Touya recommends her to his friend's troupe, Garandou Company, run by Shougo Shimamura.

Shougo tests Yuu's acting skills with high expectations, only to discover that she is a complete amateur. Unwilling to accept defeat so soon, she pleads him to let her observe and learn from them over time. Ashita no Ousama tells Yuu's story as she searches for her hidden flair among the different positions offered in a theatre troupe, with immense determination to make it big in the world of the dramatic arts.

",Young You,287,"1,846",108,"1,771"
Oboreru Knife,492,8.05,2704,265,"Oct 13, 2004","Drama, Romance","Oboreru Knife tells the story of Natsume, a sixth-grade girl who has to move from Tokyo to a decidedly different town in the countryside. Upon meeting a boy named Kouichirou there, ""something"" stirs inside her. The story depicts a ""teen heart on the brink of ruin.""

(Source: ANN)",Bessatsu Friend,"1,568","1,457",245,"3,633"
Adekan,493,8.05,1919,430,"Jul 14, 2007",Action,"Laid-back and somewhat absent-mindedly seductive umbrella craftsman Shiro (sans loincloth) and hot-blooded officer Kojiro, who stands against all things undisciplined, get involved in a bloody and erotic thrill-ride in an off-kilter town. This action packed jack-of-all-trades will have you swooning at its sexiness and leave you more addicted than opium! Tsujiki Nao's very first collection of works!

(Source: MU)",Wings,"3,603",195,492,"4,698"
Saiyuuki Reload Blast,494,8.05,4625,33,"Dec 28, 2009","Action, Adventure, Comedy, Drama, Fantasy","At last, the Sanzou Party has arrived in India. In this foreign land, where the anomaly's influence runs rampant, their battles only heighten in their violence.

And also awaiting them is their tragic fate from 500 years ago—

What will they find at the end of their long and treacherous journey?",Comic ZERO-SUM,"1,166",195,85,"2,400"
Kingdom Hearts: 358/2 Days,495,8.05,1696,463,"Aug 12, 2009",Fantasy,"The pitiful Heartless crave for hearts. The rage of the Keyblade unleashes those hearts. Hearts gather in the darkness, and eventually create Kingdom Hearts; to create the sanctuary for those lost hearts, those are Kingdom Hearts. Roxas, without any memory regarding his past, has been accepted into the Organization XIII. The privilege of becoming a member of the Organization XIII comes the responsibility that each member upholds. However a question arises: ""Why am I in the organization?"" On top of the clock tower with the sunset in the horizon, the 14th member, a young girl, makes this question. Who is this young girl, and how does she fit into the plot? This is the revitalization of Kingdom Hearts; the new prequel that connects the puzzle pieces of the mysteries that still float about. This is Kingdom Hearts: 358/2 Days!

(Source: MangaHelpers)",Shounen Gangan,"1,411","5,190",260,"3,810"
Steins;Gate,496,8.05,666,789,"Sep 26, 2009","Drama, Mystery, Sci-Fi","The story of Steins;Gate takes place in Akihabara and is about a group of friends who have managed to customize their microwave into a device that can send text messages to the past. As they perform different experiments, an organization named SERN who has been doing their own research on time travel tracks them down and now the characters have to find a way to avoid being captured by them.

(Source: Wikipedia)",Comic Alive,"3,292","9,866",650,"10,819"
Baraou no Souretsu,497,8.05,976,731,"Oct 4, 2013","Action, Drama, Supernatural","The crown of England has been hotly contested throughout history, and in the Middle Ages, a series of great civil wars becomes known as the War of the Roses. Claiming a right to the throne, the Duke of York seeks to unseat King Henry VI and his heir in order to become king himself.

On a dark day filled with many ill omens, the Duke gains a son: Richard Plantagenet, third of his name. Neither male nor female, but instead possessing characteristics of both sexes, Richard III is immediately reviled by his mother. Her hatred defines his childhood, leading to a deep disgust toward his own body and an adverse reaction to being called a demon.

Richard grows up troubled by visions of England's former foe, Joan of Arc, who taunts that he will bring ruin to all who know him. He believes that he can attain salvation by helping his father achieve his destiny of becoming the king. However, cursed by the expectations of both his mother and Joan, will Richard's actions instead drag his family down into darkness?

",Princess,"4,717","1,316",582,"10,431"
Museru kurai no Ai wo Ageru,498,8.05,2725,134,"Oct 24, 2022",Romance,"Art student Hibari Akanishi struggles to find free time between her part-time job and school. Her schedule becomes even more hectic with her upcoming project: she must make a trendy fashion design to display in front of countless people. However, all her creations end up being stale. While continuing her project at work, her laptop is accidentally soaked and broken by a customer—a flashy guy making a scene. Furious that her hard work is gone, Hibari lashes out at him before she storms out.

At the end of her shift, the rude client takes Hibari to his apartment to apologize. The eccentric boy introduces himself as Gaku Sausei, a member of a rock band and fellow art student. He lends her his computer so she can finish her assignment by the deadline. Despite Gaku's free-spirited personality clashing with Hibari's serious nature, his blunt remarks encourage Hibari to experiment with her design in ways she would not have dared to attempt before. As Hibari gets closer to Gaku, her ordinary world is about to be flipped upside down.

",Dessert,"3,919",112,69,"2,856"
Super no Ura de Yani Suu Futari,499,8.04,673,552,"Aug 25, 2022",Comedy,"The sole thing that gets the middle-aged Sasaki through his soul-sucking job is a cheerful smile from Yamada—the young woman who works at a nearby 24-hour supermarket he frequents. After every tiring day of getting berated by his boss, Sasaki stops by the store to have his spirit healed by his favorite cashier.

After a particularly grueling day, Sasaki shows up at the supermarket, only to find that Yamada's shift has already ended. Disappointed, he searches for a place to smoke when a woman from behind the store calls him over to join her. The bold and dangerously playful Tayama is quick to call out Sasaki's peculiar habit of always seeking out her coworker—even going as far as telling Yamada about Sasaki's vested interest in her.

Now, in addition to seeing his adored cashier Yamada, Sasaki also visits the store to see if his new smoking partner Tayama is around. But there is more to Tayama's mischievousness than she initially lets on. With every cigarette, an unlikely friendship begins to blossom.

",None,"14,952",258,285,"9,120"
Boruto: Two Blue Vortex,500,8.04,1135,595,"Aug 21, 2023","Action, Adventure, Fantasy","With everyone's memories having been altered, Boruto finds himself being hunted by his own village. After escaping with Sasuke, what future awaits Boruto...?

(Source: MANGA Plus)",V-Jump,"14,134",381,104,996
